iso3,Country,Region,Detailed_region
AFG,Afghanistan,Middle East & North Africa,South Asia
AGO,Angola,Sub-Saharan Africa,Sub-Saharan Africa
ALB,Albania,Europe & Central Asia,Europe
ARE,United Arab Emirates,Middle East & North Africa,Middle East
ARG,Argentina,Latin America & Caribbean,Latin America & Caribbean
ARM,Armenia,Europe & Central Asia,Middle East
AUS,Australia,East Asia & Pacific,East Asia & Pacific
AUT,Austria,Europe & Central Asia,Europe
AZE,Azerbaijan,Europe & Central Asia,Middle East
BDI,Burundi,Sub-Saharan Africa,Sub-Saharan Africa
BEL,Belgium,Europe & Central Asia,Europe
BEN,Benin,Sub-Saharan Africa,Sub-Saharan Africa
BFA,Burkina Faso,Sub-Saharan Africa,Sub-Saharan Africa
BGD,Bangladesh,South Asia,South Asia
BGR,Bulgaria,Europe & Central Asia,Europe
BHS,Bahamas,Latin America & Caribbean,Latin America & Caribbean
BIH,Bosnia and Herzegovina,Europe & Central Asia,Europe
BLR,Belarus,Europe & Central Asia,Europe
BLZ,Belize,Latin America & Caribbean,Latin America & Caribbean
BRA,Brazil,Latin America & Caribbean,Latin America & Caribbean
BRB,Barbados,Latin America & Caribbean,Latin America & Caribbean
BRN,Brunei,East Asia & Pacific,East Asia & Pacific
BTN,Bhutan,South Asia,South Asia
BWA,Botswana,Sub-Saharan Africa,Sub-Saharan Africa
CAF,Central African Republic,Sub-Saharan Africa,Sub-Saharan Africa
CAN,Canada,North America,North America
CHE,Switzerland,Europe & Central Asia,Europe
CHL,Chile,Latin America & Caribbean,Latin America & Caribbean
CHN,China,East Asia & Pacific,East Asia & Pacific
CIV,Côte d'Ivoire,Sub-Saharan Africa,Sub-Saharan Africa
CMR,Cameroon,Sub-Saharan Africa,Sub-Saharan Africa
COD,Democratic Republic of the Congo,Sub-Saharan Africa,Sub-Saharan Africa
COG,Congo,Sub-Saharan Africa,Sub-Saharan Africa
COK,Cook Islands,East Asia & Pacific,East Asia & Pacific
COL,Colombia,Latin America & Caribbean,Latin America & Caribbean
COM,Comoros,Sub-Saharan Africa,Sub-Saharan Africa
CPV,Cabo Verde,Sub-Saharan Africa,Sub-Saharan Africa
CRI,Costa Rica,Latin America & Caribbean,Latin America & Caribbean
CYP,Cyprus,Europe & Central Asia,Middle East
CZE,Czech Republic,Europe & Central Asia,Europe
DEU,Germany,Europe & Central Asia,Europe
DJI,Djibouti,Middle East & North Africa,Sub-Saharan Africa
DMA,Dominica,Latin America & Caribbean,Latin America & Caribbean
DNK,Denmark,Europe & Central Asia,Europe
DOM,Dominican Republic,Latin America & Caribbean,Latin America & Caribbean
DZA,Algeria,Middle East & North Africa,North Africa
EGY,Egypt,Middle East & North Africa,North Africa
ERI,Eritrea,Sub-Saharan Africa,Sub-Saharan Africa
ESP,Spain,Europe & Central Asia,Europe
EST,Estonia,Europe & Central Asia,Europe
ETH,Ethiopia,Sub-Saharan Africa,Sub-Saharan Africa
FIN,Finland,Europe & Central Asia,Europe
FJI,Fiji,East Asia & Pacific,East Asia & Pacific
FRA,France,Europe & Central Asia,Europe
GAB,Gabon,Sub-Saharan Africa,Sub-Saharan Africa
GBR,United Kingdom,Europe & Central Asia,Europe
GEO,Georgia,Europe & Central Asia,Middle East
GHA,Ghana,Sub-Saharan Africa,Sub-Saharan Africa
GIN,Guinea,Sub-Saharan Africa,Sub-Saharan Africa
GMB,Gambia,Sub-Saharan Africa,Sub-Saharan Africa
GNB,Guinea-Bissau,Sub-Saharan Africa,Sub-Saharan Africa
GNQ,Equatorial Guinea,Sub-Saharan Africa,Sub-Saharan Africa
GRC,Greece,Europe & Central Asia,Europe
GRD,Grenada,Latin America & Caribbean,Latin America & Caribbean
GTM,Guatemala,Latin America & Caribbean,Latin America & Caribbean
HND,Honduras,Latin America & Caribbean,Latin America & Caribbean
HRV,Croatia,Europe & Central Asia,Europe
HTI,Haiti,Latin America & Caribbean,Latin America & Caribbean
HUN,Hungary,Europe & Central Asia,Europe
IDN,Indonesia,East Asia & Pacific,East Asia & Pacific
IND,India,South Asia,South Asia
IRL,Ireland,Europe & Central Asia,Europe
ISL,Iceland,Europe & Central Asia,Europe
ISR,Israel,Middle East & North Africa,Middle East
ITA,Italy,Europe & Central Asia,Europe
JAM,Jamaica,Latin America & Caribbean,Latin America & Caribbean
JOR,Jordan,Middle East & North Africa,Middle East
JPN,Japan,East Asia & Pacific,East Asia & Pacific
KAZ,Kazakhstan,Europe & Central Asia,Central Asia
KEN,Kenya,Sub-Saharan Africa,Sub-Saharan Africa
KGZ,Kyrgyzstan,Europe & Central Asia,Central Asia
KHM,Cambodia,East Asia & Pacific,East Asia & Pacific
KNA,Saint Kitts and Nevis,Latin America & Caribbean,Latin America & Caribbean
KOR,South Korea,East Asia & Pacific,East Asia & Pacific
KWT,Kuwait,Middle East & North Africa,Middle East
LAO,Laos,East Asia & Pacific,East Asia & Pacific
LBN,Lebanon,Middle East & North Africa,Middle East
LBR,Liberia,Sub-Saharan Africa,Sub-Saharan Africa
LCA,Saint Lucia,Latin America & Caribbean,Latin America & Caribbean
LKA,Sri Lanka,South Asia,South Asia
LSO,Lesotho,Sub-Saharan Africa,Sub-Saharan Africa
LTU,Lithuania,Europe & Central Asia,Europe
LUX,Luxembourg,Europe & Central Asia,Europe
LVA,Latvia,Europe & Central Asia,Europe
MAR,Morocco,Middle East & North Africa,North Africa
MDA,Moldova,Europe & Central Asia,Europe
MDG,Madagascar,Sub-Saharan Africa,Sub-Saharan Africa
MDV,Maldives,South Asia,South Asia
MEX,Mexico,Latin America & Caribbean,Latin America & Caribbean
MHL,Marshall Islands,East Asia & Pacific,East Asia & Pacific
MKD,North Macedonia,Europe & Central Asia,Europe
MLI,Mali,Sub-Saharan Africa,Sub-Saharan Africa
MLT,Malta,Middle East & North Africa,Europe
MMR,Myanmar,East Asia & Pacific,East Asia & Pacific
MNG,Mongolia,East Asia & Pacific,East Asia & Pacific
MOZ,Mozambique,Sub-Saharan Africa,Sub-Saharan Africa
MRT,Mauritania,Sub-Saharan Africa,Sub-Saharan Africa
MUS,Mauritius,Sub-Saharan Africa,Sub-Saharan Africa
MWI,Malawi,Sub-Saharan Africa,Sub-Saharan Africa
MYS,Malaysia,East Asia & Pacific,East Asia & Pacific
NAM,Namibia,Sub-Saharan Africa,Sub-Saharan Africa
NER,Niger,Sub-Saharan Africa,Sub-Saharan Africa
NGA,Nigeria,Sub-Saharan Africa,Sub-Saharan Africa
NIC,Nicaragua,Latin America & Caribbean,Latin America & Caribbean
NLD,Netherlands,Europe & Central Asia,Europe
NOR,Norway,Europe & Central Asia,Europe
NZL,New Zealand,East Asia & Pacific,East Asia & Pacific
OMN,Oman,Middle East & North Africa,Middle East
PAK,Pakistan,Middle East & North Africa,South Asia
PAN,Panama,Latin America & Caribbean,Latin America & Caribbean
PER,Peru,Latin America & Caribbean,Latin America & Caribbean
PHL,Philippines,East Asia & Pacific,East Asia & Pacific
PLW,Palau,East Asia & Pacific,East Asia & Pacific
POL,Poland,Europe & Central Asia,Europe
PRT,Portugal,Europe & Central Asia,Europe
PRY,Paraguay,Latin America & Caribbean,Latin America & Caribbean
QAT,Qatar,Middle East & North Africa,Middle East
ROU,Romania,Europe & Central Asia,Europe
RUS,Russia,Europe & Central Asia,Europe
RWA,Rwanda,Sub-Saharan Africa,Sub-Saharan Africa
SDN,Sudan,Sub-Saharan Africa,Sub-Saharan Africa
SEN,Senegal,Sub-Saharan Africa,Sub-Saharan Africa
SGP,Singapore,East Asia & Pacific,East Asia & Pacific
SLB,Solomon Islands,East Asia & Pacific,East Asia & Pacific
SLE,Sierra Leone,Sub-Saharan Africa,Sub-Saharan Africa
SLV,El Salvador,Latin America & Caribbean,Latin America & Caribbean
SOM,Somalia,Sub-Saharan Africa,Sub-Saharan Africa
STP,São Tomé and Principe,Sub-Saharan Africa,Sub-Saharan Africa
SVK,Slovakia,Europe & Central Asia,Europe
SVN,Slovenia,Europe & Central Asia,Europe
SWE,Sweden,Europe & Central Asia,Europe
SWZ,Eswatini,Sub-Saharan Africa,Sub-Saharan Africa
SYC,Seychelles,Sub-Saharan Africa,Sub-Saharan Africa
TCD,Chad,Sub-Saharan Africa,Sub-Saharan Africa
TGO,Togo,Sub-Saharan Africa,Sub-Saharan Africa
THA,Thailand,East Asia & Pacific,East Asia & Pacific
TJK,Tajikistan,Europe & Central Asia,Central Asia
TKM,Turkmenistan,Europe & Central Asia,Central Asia
TON,Tonga,East Asia & Pacific,East Asia & Pacific
TTO,Trinidad and Tobago,Latin America & Caribbean,Latin America & Caribbean
TUN,Tunisia,Middle East & North Africa,North Africa
TUR,Turkey,Europe & Central Asia,Middle East
TZA,Tanzania,Sub-Saharan Africa,Sub-Saharan Africa
UGA,Uganda,Sub-Saharan Africa,Sub-Saharan Africa
UKR,Ukraine,Europe & Central Asia,Europe
USA,United States,North America,North America
UZB,Uzbekistan,Europe & Central Asia,Central Asia
VCT,Saint Vincent and the Grenadines,Latin America & Caribbean,Latin America & Caribbean
VEN,Venezuela,Latin America & Caribbean,Latin America & Caribbean
VNM,Vietnam,East Asia & Pacific,East Asia & Pacific
WSM,Samoa,East Asia & Pacific,East Asia & Pacific
ZAF,South Africa,Sub-Saharan Africa,Sub-Saharan Africa
ZMB,Zambia,Sub-Saharan Africa,Sub-Saharan Africa
